Done,Date,Log name,Asset IDs,Asset names,Areas,Notes,Categories,Quantity measure,Quantity value,Quantity unit,Quantity label,Lot number
,2018-09-17,,,Endive,P,,,,5,Pounds,,
,2018-09-17,,,Escarole,SQ 3,,,,15,Head,,
,2018-09-17,,,Lettuce: Mes Mix,ALF 1,,,,45,Pounds,,
,2018-09-17,,,Radicchio,P,,,,12,Pounds,,
,2018-09-20,,,Chinese Cabbage,SQ 3,,,,25,Head,,
,2018-09-20,,,Kale,SQ 3,,,,157,Bunches,,
,2018-09-20,,,Lettuce,ALF 1,,,,48,Head,,
,2018-09-20,,,Lettuce: Mes Mix,ALF 1,,,,15,Pounds,,
,2018-09-20,,,Turnips,ALF 1,,,,5,Bunches,,
,2018-09-21,,,Potatoes,R,,,,257,Pounds,,
,2018-09-24,,,Beans,ALF 1,,,,25,Pounds,,
,2018-09-24,,,Beets,ALF 1,,,,8,Bunches,,
,2018-09-24,,,Beets,SQ 5,,,,40,Bunches,,
,2018-09-24,,,Chinese Cabbage,SQ 3,,,,27,Head,,
,2018-09-24,,,Chinese Cabbage,SQ 5,,,,87,Head,,
,2018-09-24,,,Dandelion,SQ 7,,,,13,Bunches,,
,2018-09-24,,,Kale,SQ 3,,,,40,Bunches,,
,2018-09-24,,,Kohlrabi,SQ 3,,,,13.3333,Bunches,,
,2018-09-24,,,Radishes: Daikon,ALF 1,,,,15,Bunches,,
,2018-09-24,,,Scallions,ALF 1,,,,16.67,Bunches,,
,2018-09-24,,,Turnips,ALF 1,,,,5,Bunches,,
,2018-09-27,,,Beans,ALF 1,,,,12,Pounds,,
,2018-09-27,,,Broccoli,ALF 3,,,,61,Pounds,,
,2018-09-27,,,Escarole,ALF 1,,,,15,Head,,
,2018-09-27,,,Lettuce,ALF 1,,,,25,Head,,
,2018-09-27,,,Lettuce: Romaine,ALF 1,,,,93.75,Pounds,,
,2018-09-27,,,Peppers: Bell,SQ 6,,,,44,Each,,
,2018-09-27,,,Peppers: Bell,SQ 6,,,,41.5385,Each,,
,2018-09-27,,,Radishes: Daikon,ALF 1,,,,17.5,Bunches,,
,2018-09-27,,,Tomatoes: Cherry,JASMINE-4,,,,44,Pints,,
,2018-09-27,,,Turnips,ALF 1,,,,3.75,Bunches,,
,2018-10-01,,,Broccoli,ALF 3,,,,3.5,Pounds,,
,2018-10-01,,,Broccoli,ALF 3,,,,4,Pounds,,
,2018-10-01,,,Broccoli,SQ 10,,,,2,Pounds,,
,2018-10-01,,,Broccoli,ALF 3,,,,5,Pounds,,
,2018-10-01,,,Collards,SQ 3,,,,10,Bunches,,
,2018-10-01,,,Kale,SQ 3,,,,15,Bunches,,
,2018-10-01,,,Kale,SQ 3,,,,58,Bunches,,
,2018-10-01,,,Lettuce,ALF 1,,,,70,Head,,
,2018-10-01,,,Lettuce: Romaine,ALF 1,,,,343.75,Pounds,,
,2018-10-01,,,Peppers: Bell,N,,,,13.0769,Each,,
,2018-10-01,,,Scallions,SQ 3,,,,50,Bunches,,
,2018-10-01,,,Turnips,ALF 1,,,,8.75,Bunches,,
,2018-10-02,,,Potatoes,R,,,,100,Pounds,,
,2018-10-04,,,Beans,ALF 1,,,,9,Pounds,,
,2018-10-04,,,Lettuce,ALF 1,,,,39,Head,,
,2018-10-04,,,Peppers: Bell,SQ 6,,,,61.5385,Each,,
,2018-10-04,,,Scallions,SQ 5,,,,47,Bunches,,
,2018-10-08,,,Bokchoy,ALF 3,,,,20,Head,,
,2018-10-08,,,Dandelion,SQ 7,,,,5,Bunches,,
,2018-10-08,,,Kale,SQ 10,,,,13.3333,Bunches,,
,2018-10-08,,,Kale,SQ 3,,,,12,Bunches,,
