"Done","Date","Log name","Asset IDs","Asset names","Archive assets","Areas","Notes","Categories","Invoice number","Lot number","Quantity","Units","Unit price","Total price","Seller"
"no","2018-01-26",,,"Broccoli",,,"Imperial","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Brussel Sprouts",,,"Diablo","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Brussel Sprouts",,,"Diablo","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Cabbage",,,"Kaitlin","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Cabbage",,,"Kaitlin","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Cabbage",,,"Storage #4","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Cabbage",,,"Storage #4","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Carrots",,,"Bolero","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Carrots",,,"Bolero","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Carrots",,,"Hercules","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Carrots",,,"Hercules","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Carrots",,,"Romance","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Carrots",,,"Romance","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Cauliflower",,,"Bishop","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Cauliflower",,,"Bishop","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Cauliflower",,,"Denail","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Cauliflower",,,"Denail","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Chard",,,"Magenta Sunset","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Chard",,,"Magenta Sunset","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Collards",,,"Flash","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Collards",,,"Flash","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Cucumbers",,,"Cobra","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Cucumbers",,,"Cobra","Seed","BACKUP",,,,,,"JOHNNY'S"
"no","2018-01-26",,,"Cucumbers",,,"Corinto","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Cucumbers",,,"Corinto","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Cucumbers",,,"Dasher","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Cucumbers",,,"Dasher","Seed","BACKUP",,,,,,"JOHNNY'S"
"no","2018-01-26",,,"Cucumbers",,,"General Lee","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Cucumbers",,,"General Lee","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Cucumbers",,,"Sv4719cs","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Cucumbers",,,"Sv4719cs","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Dandelion",,,"Clio","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Dandelion",,,"Clio","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Eggplants",,,"Galine","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Eggplants",,,"Galine","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Eggplants",,,"Nadia","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Eggplants",,,"Nadia","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Eggplants",,,"Orient Express","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Eggplants",,,"Orient Express","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Escarole",,,"Natache","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Escarole",,,"Natache","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Lettuce: Mes Mix",,,"Bianca Riccia","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Lettuce: Mes Mix",,,"Bianca Riccia","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Lettuce: Red",,,"Cherokee","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Lettuce: Red",,,"Cherokee","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-01-26",,,"Lettuce: Romaine",,,"Sparx","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-01-26",,,"Lettuce: Romaine",,,"Sparx","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Peppers: Bell",,,"Biscayne","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Peppers: Bell",,,"Biscayne","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Peppers: Bell",,,"Flavorburst","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Peppers: Bell",,,"Flavorburst","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Peppers: Bell",,,"Gourment","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Peppers: Bell",,,"Gourment","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Peppers: Bell",,,"Intruder","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Peppers: Bell",,,"Intruder","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Peppers: Bell",,,"Lipstick","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Peppers: Bell",,,"Lipstick","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Peppers: Bell",,,"Olympus","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Peppers: Bell",,,"Olympus","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Peppers: Bell",,,"X3r Red Knight","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Peppers: Bell",,,"X3r Red Knight","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Peppers: Hot",,,"El Eden","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Peppers: Hot",,,"El Eden","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Radicchio",,,"Indigo","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Radicchio",,,"Indigo","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Radishes ",,,"Nero Tondo","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Radishes ",,,"Nero Tondo","Seed","BACKUP",,,,,,"REIMER"
"no","2018-02-01",,,"Radishes: Daikon",,,"Mini Mak","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Radishes: Daikon",,,"Mini Mak","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Scallions",,,"White Spear","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Scallions",,,"White Spear","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Spinach",,,"Gazelle","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Spinach",,,"Gazelle","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Spinach",,,"Space","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Spinach",,,"Space","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Squash: Butternut",,,"Metro","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Squash: Butternut",,,"Metro","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Squash: Winter",,,"Tip Top Acorn","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Squash: Winter",,,"Tip Top Acorn","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Squash: Summer",,,"Gold Star","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Squash: Summer",,,"Gold Star","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Squash: Summer",,,"Slick Pik","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Squash: Summer",,,"Slick Pik","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Tomatoes: Cherry",,,"Sun Gold","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Tomatoes: Cherry",,,"Sun Gold","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Tomatoes: Cherry",,,"Valentine","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Tomatoes: Cherry",,,"Valentine","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Tomatoes: Slicing",,,"Bhn1021","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Tomatoes: Slicing",,,"Bhn1021","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Tomatoes: Slicing",,,"Big Beef","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Tomatoes: Slicing",,,"Big Beef","Seed","BACKUP",,,,,,"SEEDWAY"
"no","2018-02-01",,,"Tomatoes: Slicing",,,"Estiva","Seed","BACKUP",,,,,,"HIGH MOWING"
"no","2018-02-01",,,"Tomatoes: Slicing",,,"Estiva","Seed","BACKUP",,,,,,"SEEDWAY"
